epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17161,2.90913,3.54121,2.19268,0.00692,1,0.55013,0.21271,2.23099,2.83523,1.73108,5.001e-05,5.001e-05,5.001e-05
2,8.26013,2.56143,3.2078,2.07368,0.00679,1,0.57417,0.23432,2.11744,2.84329,1.6594,0.000105138,0.000105138,0.000105138
3,12.415,2.26673,3.17779,1.72206,0.00669,1,0.48911,0.20582,1.94489,2.822,1.56476,0.000147063,0.000147063,0.000147063
4,16.3613,2.34107,3.34467,1.85116,0.00669,1,0.48911,0.20582,1.94489,2.822,1.56476,0.000175785,0.000175785,0.000175785
5,20.439,2.14142,3.12337,1.83322,0.00669,1,0.60091,0.39332,1.72619,2.75967,1.43989,0.000191305,0.000191305,0.000191305
6,24.3623,1.82202,3.09147,1.54202,0.00669,1,0.60091,0.39332,1.72619,2.75967,1.43989,0.000193622,0.000193622,0.000193622
7,28.4377,2.27339,3.10479,1.83587,0.00682,1,0.63613,0.34788,1.75142,2.81533,1.41754,0.000182737,0.000182737,0.000182737
8,32.1956,2.13988,2.92828,1.5996,0.00682,1,0.63613,0.34788,1.75142,2.81533,1.41754,0.000158648,0.000158648,0.000158648
9,36.1327,1.97102,2.84909,1.5882,0.00682,1,0.63613,0.34788,1.75142,2.81533,1.41754,0.000121358,0.000121358,0.000121358
10,40.1265,1.97917,2.71743,1.73725,0.00715,1,0.67833,0.33499,1.76315,2.81703,1.44909,7.08642e-05,7.08642e-05,7.08642e-05
