epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.074,2.17904,2.51748,1.53833,0.46161,0.51576,0.50019,0.17539,2.09666,1.85297,1.50099,0.000555353,0.000555353,0.000555353
2,1202.97,2.00529,2.04859,1.45999,0.48487,0.50272,0.44901,0.13488,2.30333,1.78341,1.66532,0.00100103,0.00100103,0.00100103
3,1821.99,1.9467,1.9243,1.44743,0.55771,0.52989,0.50584,0.17082,2.10782,1.76387,1.57386,0.00133668,0.00133668,0.00133668
4,2345.94,1.91636,1.81143,1.4233,0.55779,0.56478,0.52431,0.17717,2.1972,1.66296,1.59873,0.0011719,0.0011719,0.0011719
5,2863.32,1.86532,1.69006,1.39479,0.55109,0.55489,0.53383,0.16642,2.28781,1.6126,1.67339,0.00100687,0.00100687,0.00100687
6,3383.6,1.80432,1.62059,1.36831,0.63038,0.62337,0.60268,0.23368,1.97858,1.41341,1.47427,0.000841835,0.000841835,0.000841835
7,3934.9,1.76469,1.53693,1.34006,0.66713,0.60815,0.59318,0.19368,2.22484,1.40642,1.59323,0.000676802,0.000676802,0.000676802
8,4485.25,1.72419,1.47202,1.3212,0.67647,0.62935,0.61727,0.22489,2.11226,1.31734,1.5272,0.000511769,0.000511769,0.000511769
9,4984.96,1.68931,1.37986,1.29935,0.72466,0.6413,0.63253,0.25175,1.9761,1.28888,1.47174,0.000346736,0.000346736,0.000346736
10,5416.03,1.65235,1.32423,1.27792,0.71705,0.62663,0.66245,0.26205,1.99516,1.21693,1.4798,0.000181703,0.000181703,0.000181703
